Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
Ubiquiti,Unifi G6 Bullet,UVC-G6-Bullet,"[G6 Bullet](https://techspecs.ui.com/unifi/cameras-nvrs/uvc-g6-bullet)

All-weather 4K PoE camera with a 1/1.8"" 8MP image sensor, Multi-TOPS AI Engine, and long-range IR night vision.

* **Dimensions**
    * Without mount: diameter 82 x 88.8 mm (diameter 3.2 x 3.5"")
    * With mount: diameter 82 x 153 mm (diameter 3.2 x 6"")
* **IR Night Vision:** 30 m (98 ft)
* **Face Recognition:** Yes
* **License Plate Recognition:** Yes
* **Smart Detections (People, Vehicles, Animals):** Yes
* **Resolution:** 4K
* **Field of View:** H: 109.9, V: 56.7, D: 134.1 (degree)
* **Audio:** Microphone
* **Weatherproofing:** IP66
* **Tamper Resistance:** IK04
* **Mounting**
    * Wall, ceiling, pole mount (Included)
    * Junction box, angled base (Optional)
* **Max. Power Consumption:** 9.9W
* **Weight**
    * Without mount: 587 g (1.3 lb)
    * With mount: 737 g (1.6 lb)
* **Certifications:** CE, FCC, IC
",eth0,,,
Ubiquiti,Surge Protector,ETH-SP-G2,[Ethernet Surge Protector](https://www.ui.com/accessories/ethernet-surge-protector/),,,,
Ubiquiti,8-Port GPON Optical Line Terminal,UF-OLT,"[8-Port GPON Optical Line Terminal Data Sheet](https://www.ui.com/downloads/ds/uf_gpon)
","MGMT, pon1, pon2, pon3, pon4, pon5, pon6, pon7, pon8, SFP+ 1, SFP+ 2",CONSOLE,,
Ubiquiti,UniFi Switch Enterprise 48 PoE,USW-Enterprise-48-PoE,"UniFi Switch Enterprise 48 PoE (150W + max. 720W PoE), (48) 2.5 Gigabit PoE+ IEEE 802.3af/at, (4) SFP+

Dimensions: 442.4 x 43.7 x 325 mm (17.4 x 1.7 x 12.8"")
[Switch Enterprise 48 PoE Techspecs](https://techspecs.ui.com/unifi/switching/usw-enterprise-48-poe)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP+ 49, SFP+ 50, SFP+ 51, SFP+ 52",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,UniFi Switch Pro Max 24 PoE,USW-Pro-Max-24-PoE,"UniFi Switch 24 Pro Max PoE (50W + max. 400W PoE), (16) Gigabit + (8) 2.5GbE, (1-8) Gigabit PoE+ IEEE 802.3af/at, (9-16) Gigabit PoE++ IEEE 802.3bt, (17-24) 2.5GbE 60W PoE++ IEEE 802.3bt, (2) SFP+

Dimensions: 442 x 325 x 44 mm (17.4 x 12.8 x 1.7"")
[UniFi Switch Pro Max 24 PoE Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-max-24-poe)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, SFP+ 25, SFP+ 26",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,UniFi Switch Enterprise 24 PoE,USW-Enterprise-24-PoE,"UniFi Switch Enterprise 24 PoE (150W + max. 400W PoE), (12) 2.5 Gigabit PoE+ IEEE 802.3af/at, (12) 1 Gigabit PoE+ IEEE 802.3af/at, (2) SFP+

Dimensions: 442.4 x 43.7 x 325 mm (17.4 x 1.7 x 12.8"")

[Switch Enterprise 24 PoE Techspecs](https://techspecs.ui.com/unifi/switching/usw-enterprise-24-poe)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, SFP+ 25, SFP+ 26",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,Instant PoE 802.3af Gigabit Adapter,INS-3AF-O-G,[UBNT Instant PoE Converter Data Sheet](https://dl.ubnt.com/datasheets/instant/Instant_802.3af_Gigabit_PoE_Converters_DS.pdf),,,,
Ubiquiti,UniFi Application Server,UAS-XG,"10G Rack-Mountable UniFi Application Server, (2) 1/10G LAN, (1) 1G IPMI LAN, (1) VGA rear, (2) USB 3.0 rear, (2) USB 2.0 front

Dimensions: 442.4 x 43.7 x 305.5 mm (17.42 x 1.72 x 12.03"")
","IPMI LAN, LAN1, LAN2",,Supply,
Ubiquiti,NanoBeam 5AC Gen2,NBE-5AC-Gen2,[NanoBeam AC Gen2](https://www.ui.com/airmax/nanobeam-ac-gen2/),"eth0, wlan0",,,
Ubiquiti,UniFi SmartPower RPS,USP-RPS,"[UniFi Power Backup Techspecs](https://techspecs.ui.com/unifi/power-tech/usp-rps)

950W backup power unit that provides full redundancy for rack-mounted UniFi devices.

Dimensions: 442.4 x 43.7 x 325.6 mm (17.42 x 1.72 x 12.82"")
",Port 1,,ps1,
Ubiquiti,airFiber 60 HD,AF60-HD,"ubond0 is setup to use ieee802.11ax as LTE currently doesn't allow wireless
parameters to be specified despite the fact that the airFiber is a LTE-U
device.

The eth0 and ubond0 are permanently bridged as this is a L2 bridge device.

[Ubiquiti AF60-HD Data Sheet](https://dl.ui.com/ds/af60-hd_ds.pdf)
","br0, eth0, ubond0",,,
Ubiquiti,LiteBeam 5AC Gen2,LBE-5AC-Gen2,[LiteBeam AC Gen2](https://www.ui.com/airmax/litebeam-ac-gen2/),"lan0, wlan0",,,
Ubiquiti,EdgeRouter 10X,ER-10X,[EdgeRouter 10X](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8, eth9",Console,24VDC,
Ubiquiti,UniFi Switch Lite 8 PoE,USW-Lite-8-PoE,"UniFi Switch Lite 8 PoE (8) Gigabit, (1-4) Gigabit PoE+ IEEE 802.3af/at

Dimensions: 99.6 x 163.7 x 31.7 mm (3.92 x 6.44 x 1.25"")
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8",,Input,
Ubiquiti,EdgeSwitch 24 500W,ES-24-500W,[EdgeSwitch](https://www.ui.com/edgemax/edgeswitch/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16, interface 0/17, interface 0/18, interface 0/19, interface 0/20, interface 0/21, interface 0/22, interface 0/23, interface 0/24, interface 0/25, interface 0/26",Console,Power,
Ubiquiti,10G PoE++ Adapter (60W),UACC-PoE-plus-plus-10G,"[10G PoE++ Adapter (60W)](https://techspecs.ui.com/unifi/accessories/u-poe-plus-plus)

An adapter that can power UniFi PoE++ devices, reduce dependency on PoE switch power, and provide a Multi-Gigabit LAN connection.

Dimensions: 106 x 63 x 34 mm (4.2 x 2.5 x 1.3"")
Weight: 210 g (7.4 oz)
Output voltage: 48V DC @ 1.25A
Certifications: CE, FCC, IC, UL, UKCA, KC, CCC, KC, RoHS
","Port 1, Port 2",,Power,
Ubiquiti,UniFi Switch 24 Pro,USW-Pro-24,"UniFi Switch 24 Pro (50W), (24) Gigabit, (1-16) Gigabit, (17-24) Gigabit, (2) SFP+

Dimensions: 442.4 x 285 x 44 mm (17.4 x 11.2 x 1.7"")

[Switch Switch 24 Pro Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-24)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25 - SFP+, Port 26 - SFP+",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,airFiber 5XHD,AF-5XHD,"ath0 is setup to use ieee802.11ax as LTE currently doesn't allow wireless
parameters to be specified despite the fact that the airFiber is a LTE-U
device.

The eth0 and ath0 are permanently bridged as this is a L2 bridge device.
","br0, eth0, ath0",,,
Ubiquiti,EdgePoint Router 8-Port,EP-R8,[EdgePoint Router 8-Port](https://www.ui.com/downloads/datasheets/edgemax/EdgePoint_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8, eth9, switch0",,54VDC,
Ubiquiti,UniFi Switch 48 PoE 500W Gen1,US-48-500W,"UniFi Switch 48 PoE 500W (64W + max. 436W PoE) Gen1, (48) Gigabit PoE+ IEEE 802.3af/at and 24V Passive PoE, (2) SFP+, (2) SFP

Dimensions: 485 x 43.7 x 374.6 mm (19.09 x 1.72 x 14.75"")
","Port 1 (PoE), Port 2 (PoE), Port 3 (PoE), Port 4 (PoE), Port 5 (PoE), Port 6 (PoE), Port 7 (PoE), Port 8 (PoE), Port 9 (PoE), Port 10 (PoE), Port 11 (PoE), Port 12 (PoE), Port 13 (PoE), Port 14 (PoE), Port 15 (PoE), Port 16 (PoE), Port 17 (PoE), Port 18 (PoE), Port 19 (PoE), Port 20 (PoE), Port 21 (PoE), Port 22 (PoE), Port 23 (PoE), Port 24 (PoE), Port 25 (PoE), Port 26 (PoE), Port 27 (PoE), Port 28 (PoE), Port 29 (PoE), Port 30 (PoE), Port 31 (PoE), Port 32 (PoE), Port 33 (PoE), Port 34 (PoE), Port 35 (PoE), Port 36 (PoE), Port 37 (PoE), Port 38 (PoE), Port 39 (PoE), Port 40 (PoE), Port 41 (PoE), Port 42 (PoE), Port 43 (PoE), Port 44 (PoE), Port 45 (PoE), Port 46 (PoE), Port 47 (PoE), Port 48 (PoE), SFP+ 1, SFP+ 2, SFP 1, SFP 2",Console,Input,
Ubiquiti,ES-10XP,,[EdgeSwitch 10XP - Managed 10-Port Gigabit Switch with PoE](https://www.ui.com/edgemax/edgeswitch-10xp/),"gi1, gi2, gi3, gi4, gi5, gi6, gi7, gi8, gi9, gi10",,24VDC,
Ubiquiti,Unifi G6 Instant,UVC-G6-INS,"[G6 Instant](https://techspecs.ui.com/unifi/cameras-nvrs/uvc-g6-ins)

Plug-and-play, 4K WiFi-connected camera with a 1/1.8"" 8MP image sensor, Multi-TOPS AI Engine, and two-way audio.

* **Dimensions:** 81.7 x 50.1 x 57.2 mm (3.2 x 2 x 2.3"")
* **IR Night Vision:** 6 m (20 ft)
* **Face Recognition:** Yes
* **License Plate Recognition:** Yes
* **Smart Detections (People, Vehicles, Animals):** Yes
* **Resolution:** 4K
* **Field of View:** H: 109.9, V: 56.7, D: 134.1 (degree)
* **Audio:** Two-way audio
* **Weatherproofing:** IPX5
* **Tamper Resistance:** IK04
* **Mounting:** Wall mount accessory (Included)
* **Max. Power Consumption:** 7W
* **Weight:** 180 g (6.3 oz)
* **Certifications:** CE, FCC, IC
","wlan, Bluetooth",,Power,
Ubiquiti,UniFi Pro Max 16 PoE,USW-Pro-Max-16-PoE,"UniFi Pro Max 16 (PoE 180W), 4x 2.5GbE RJ45 (ieee802.3bt), 12 GbE RJ45 (ieee802.3at), 2x 10G SFP+, RGB Port Illumination
Dimensions: 325.1 x 160 x 43.7 mm (12.8 x 6.3 x 1.7"")
","GbE 1, GbE 2, GbE 3, GbE 4, GbE 5, GbE 6, GbE 7, GbE 8, GbE 9, GbE 10, GbE 11, GbE 12, 2.5 GbE 13, 2.5 GbE 14, 2.5 GbE 15, 2.5 GbE 16, SFP+ 1, SFP+ 2",,Input,
Ubiquiti,AC Professional,UAP-AC-PRO,"[Access Point AC Pro](https://store.ui.com/collections/wireless/products/uap-ac-pro)'
","eth0, eth1, wlan0, wlan1",,,
Ubiquiti,UniFi Switch 24 Gen1,US-24,"UniFi Switch 24 non-PoE, Gen1, (24) Gigabit, (2) SFP

Dimensions: 443 x 43 x 221 mm (17.44 x 1.69 x 8.70"")
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, SFP 1, SFP 2",Console,Input,
Ubiquiti,airFiber 60 LR,AF60-LR,"ubond0 is setup to use ieee802.11ax as LTE currently doesn't allow wireless
parameters to be specified despite the fact that the airFiber is a LTE-U
device.

The eth0 and ubond0 are permanently bridged as this is a L2 bridge device.

[Ubiquiti AF60-LR Data Sheet](https://dl.ui.com/ds/af60-lr_ds)
","br0, eth0, ath0",,,
Ubiquiti,EdgeRouter 8,ER-8,[EdgeRouter 8](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7",Console,AC,
Ubiquiti,In-Wall HD,UAP-IW-HD,"[Access Point In-Wall HD](https://store.ui.com/collections/wireless/products/unifi-in-wall-hd)
","eth0, eth1, eth2, eth3, eth4, wlan0, wlan1",,,
Ubiquiti,UniFi Express (UX),UX,"UniFi Express (UX) is a compact cloud gateway with an integrated Wi-Fi 6 access point, designed for small networks. It supports advanced firewall, VPN, and UniFi OS with WAN+LAN Gigabit ports.
","WAN, LAN, WLAN 2.4GHz, WLAN 5GHz",,USB-C Power,
Ubiquiti,UniFi Switch 24 PoE 500W Gen1,US-24-500W,"UniFi Switch 24 PoE 500W (30W + max. 470W PoE), Gen1, (24) Gigabit PoE+ IEEE 802.3af/at and 24V Passive PoE, (2) SFP

Dimensions: 485 x 43.7 x 285.4 mm (19.09 x 1.72 x 11.24"")
","Port 1 (PoE), Port 2 (PoE), Port 3 (PoE), Port 4 (PoE), Port 5 (PoE), Port 6 (PoE), Port 7 (PoE), Port 8 (PoE), Port 9 (PoE), Port 10 (PoE), Port 11 (PoE), Port 12 (PoE), Port 13 (PoE), Port 14 (PoE), Port 15 (PoE), Port 16 (PoE), Port 17 (PoE), Port 18 (PoE), Port 19 (PoE), Port 20 (PoE), Port 21 (PoE), Port 22 (PoE), Port 23 (PoE), Port 24 (PoE), SFP 1, SFP 2",Console,Input,
Ubiquiti,Bullet M2,bullet m2,,"lan0, wlan0",,,
Ubiquiti,UniFi Dream Machine Pro Special Edition,UDM-SE,"UniFi Dream Machine Pro Special Edition

Enterprise Security Gateway and Network Appliance with 10G SFP+, (8) 1G PoE LAN, (1) 2.5G WAN, (1) 1/10G SFP+ LAN, (1) 1/10G SFP+ WAN

Dimensions: 442.4 x 43.7 x 285.6 mm (17.42 x 1.72 x 11.24"")
[UniFi Dream Machine Pro Special Edition Techspecs](https://techspecs.ui.com/unifi/unifi-cloud-gateways/udm-se)
","port.1, port.2, port.3, port.4, port.5, port.6, port.7, port.8, port.9, port.10, port.11",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,UniFi Switch 48 Pro,USW-Pro-48,"UniFi Switch 48 Pro (60W), (48) Gigabit, (4) SFP+

Dimensions: 442.4 x 285 x 44 mm (17.4 x 11.2 x 1.7"")
[Switch Switch 48 Pro Techspecs](https://techspecs.ui.com/unifi/switching/usw-pro-48)
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP+ 49, SFP+ 50, SFP+ 51, SFP+ 52",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,NanoStation LOCO M5,nanostation loco m5,,"eth0, wlan0",,,
Ubiquiti,EdgeSwitch 16 150W,ES-16-150W,[EdgeSwitch](https://www.ui.com/edgemax/edgeswitch/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16, interface 0/17, interface 0/18",Console,Power,
Ubiquiti,UniFi Cloud Gateway Max,UCG-Max,"Compact 2.5G Cloud Gateway with support for over 30 UniFi devices and 300+ clients. Features 1.5 Gbps IDS/IPS throughput, 512 GB NVMe SSD for NVR storage, and a 0.96"" LCM status display. Includes full UniFi application suite for device management. [Tech Specs](https://techspecs.ui.com/unifi/unifi-cloud-gateways/ucg-max)
","WAN, LAN1, LAN2, LAN3, LAN4",,USB-C Power,
Ubiquiti,Enterprise Fortress Gateway,EFG,"[Enterprise Fortress Gateway](https://store.ui.com/products/enterprise-fortress-gateway)

High-performance enterprise gateway with (2) 2.5GbE RJ45 ports, (2) 10G SFP+ ports, and (2) 25G SFP28 ports. Supports redundant WAN failover and load balancing.

Dimensions: 442.4 x 43.7 x 325 mm (17.4 x 1.7 x 12.8"")
Weight: 6.5 kg (14.3 lb)
Max Power Consumption: 82W
Certifications: CE, FCC, IC
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6",,,
Ubiquiti,EdgeRouter 6P,ER-6P,[EdgeRouter 6 with POE](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5",Console,24VDC,
Ubiquiti,AI Port Rack Mount,UACC-AI-Port-RM,"[AI Port Rack Mount](https://techspecs.ui.com/unifi/accessories/uacc-ai-port-rm)

1U rack-mount accessory that supports up to six AI Ports.

Dimensions: 442.4 x 158.5 x 42.8 mm (17.4 x 6.2 x 1.7"")
Weight: 650 g (1.4 lb)
",,,,"1, 2, 3, 4, 5, 6"
Ubiquiti,UniFi Switch Aggregation,USW-Aggregation,"UniFi Switch Aggregation, 10G 8-Port Managed Aggregation Switch, 30W, (8) SFP+

Dimensions: 442.4 x 120 x 43.7 mm (17.42 x 4.72 x 1.72"")

[USW-Aggregation Techspecs]https://techspecs.ui.com/unifi/switching/usw-pro-aggregation
","SFP+ 1, SFP+ 2, SFP+ 3, SFP+ 4, SFP+ 5, SFP+ 6, SFP+ 7, SFP+ 8",,Input,
Ubiquiti,EdgeRouter 12,ER-12,[EdgeRouter 12](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8, eth9, eth10, eth11, switch0",Console,24VDC,
Ubiquiti,UniFi Switch 48 Gen2,USW-48,"UniFi Switch 48 PoE (40W), Gen2, (48) Gigabit, (1-32) Gigabit (4) 1G SFP

Dimensions: 442.4 x 285 x 43.7 mm (17.42 x 11.22 x 1.72"")
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, Port 25, Port 26, Port 27, Port 28, Port 29, Port 30, Port 31, Port 32, Port 33, Port 34, Port 35, Port 36, Port 37, Port 38, Port 39, Port 40, Port 41, Port 42, Port 43, Port 44, Port 45, Port 46, Port 47, Port 48, SFP 49, SFP 50, SFP 51, SFP 52",,Input,
Ubiquiti,UniFi Protect Network Video Recorder Pro,UNVR-Pro,"Network Video Recorder with seven bays.

Dimensions: 442 x 325 x 87 mm (17.4 x 12.8 x 3.4"")
[UniFi Protect Network Video Recorder Pro Techspecs](https://techspecs.ui.com/unifi/cameras-nvrs/unvr-pro)
","LAN 1, SFP+ 2 (LAN)",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,FlexHD,UAP-FlexHD,"[UniFi Access Point FlexHD](https://store.ui.com/collections/wireless/products/unifi-flexhd)
","eth0, wlan0, wlan1",,,
Ubiquiti,UniFi Switch Flex 2.5G 8 PoE,USW-Flex-2-5G-8-PoE,"212.9 x 99.4 x 33.5 mm (8.4 x 3.9 x 1.3"")
https://eu.store.ui.com/eu/en/products/usw-flex-2-5g-8-poe
","Port 1 (PoE++), Port 2 (PoE++), Port 3 (PoE++), Port 4 (PoE++), Port 5 (PoE++), Port 6 (PoE++), Port 7 (PoE++), Port 8 (PoE++), Port 9 (PoE+++), Port 10",,54VDC IN,
Ubiquiti,UniFi Switch 16 XG,US-16-XG,"UniFi Switch 16 XG, 10G 16-Port Managed Aggregation Switch, 56W (32W with no GBICs), (12) SFP+, (4) 1/10 Gigabit

Dimensions: 443 x 221 x 43 mm (17.44 x 8.70 x 1.69"")
","SFP+ 1, SFP+ 2, SFP+ 3, SFP+ 4, SFP+ 5, SFP+ 6, SFP+ 7, SFP+ 8, SFP+ 9, SFP+ 10, SFP+ 11, SFP+ 12, Port 13, Port 14, Port 15, Port 16",Console,"Input, 48/24VDC",
Ubiquiti,UniFi Dream Machine Pro,,"UniFi Dream Machine Pro

Enterprise Security Gateway and Network Appliance with 10G SFP+, (8) 1G LAN, (1) 1G WAN, (1) 1/10G SFP+ LAN, (1) 1/10G SFP+ WAN

Dimensions: 442.4 x 43.7 x 285.6 mm (17.42 x 1.72 x 11.24"")
[UniFi Dream Machine Pro Techspecs](https://techspecs.ui.com/unifi/unifi-cloud-gateways/udm-pro)
","port.1, port.2, port.3, port.4, port.5, port.6, port.7, port.8, port.9, port.10, port.11",,"Input, USP-RPS connector for PSU failover",
Ubiquiti,UniFi Switch 24 PoE Gen2,USW-24-POE,"UniFi Switch 24 PoE (25W + max. 95W PoE), Gen2, (24) Gigabit, (1-16) Gigabit PoE+ IEEE 802.3af/at, (2) SFP

Dimensions: 442.4 x 200 x 43.7 mm (17.42 x 7.87 x 1.72"")
","Port 1, Port 2, Port 3, Port 4, Port 5, Port 6, Port 7, Port 8, Port 9, Port 10, Port 11, Port 12, Port 13, Port 14, Port 15, Port 16, Port 17, Port 18, Port 19, Port 20, Port 21, Port 22, Port 23, Port 24, SFP 1, SFP 2",,Input,
Ubiquiti,USG,,[UniFi Security Gateway - Enterprise Gateway Router with Gigabit Ethernet](https://www.ui.com/unifi-routing/usg/),"eth0, eth1, eth2",console,12VDC,
Ubiquiti,airCube-ISP,aircube-isp,"PoE 24V In on LAN Port 1 or 2A Micro USB Adapter (Not Included)

Controllable 24V PoE Out (+4, 5; -7, 8) on WAN Port
","lan1, lan2, lan3, wan1, wlan0",,Input,
Ubiquiti,EdgeSwitch 16 XG,ES-16-XG,[EdgeSwitch 16 XG](https://www.ui.com/edgemax/edgeswitch-16-xg/),"interface 0/1, interface 0/2, interface 0/3, interface 0/4, interface 0/5, interface 0/6, interface 0/7, interface 0/8, interface 0/9, interface 0/10, interface 0/11, interface 0/12, interface 0/13, interface 0/14, interface 0/15, interface 0/16",Console,Power,
Ubiquiti,UniFi Switch XG 6PoE,US-XG-6POE,"UniFi Switch XG 6PoE, 10G 6-Port Switch with 802.3bt PoE++, (40W w/o PoE) External VDC PSU (4) 1/10 Gigabit 60W PoE++ IEEE 802.3bt, (2) SFP+

Dimensions: 165 x 268.1 x 31.8 mm (6.50 x 10.56 x 1.25"")
","RJ45 1 (PoE), RJ45 2 (PoE), RJ45 3 (PoE), RJ45 4 (PoE), SFP+ 5, SFP+ 6","Console, Console (USB)","54VDC IN, 54VDC (external)",
Ubiquiti,ER-X,,[EdgeRouter X - Advanced Gigabit Ethernet Router](https://dl.ui.com/datasheets/edgemax/EdgeRouter_X_DS.pdf),"eth0, eth1, eth2, eth3, eth4",,12VDC,
Ubiquiti,NanoStation LOCO M900,nanostation loco m900,,"eth0, wlan0",,,
Ubiquiti,EdgeRouter Infinity,ER-8-XG,[EdgeRouter Infinity](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_ER-8-XG_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8",Console,,
Ubiquiti,AI Port,UP-AI-Port,"[AI Port](https://techspecs.ui.com/unifi/cameras-nvrs/up-ai-port)

AI appliance that enhances any UniFi or third-party camera with AI detection, classification, and recognition capabilities.

Dimensions
    Without mount: 150 x 64 x 38.4 mm (5.9 x 2.5 x 1.5"")
    With mount: 152.7 x 69 x 47.8 mm (6 x 2.7 x 1.9"")
Weight:
  Without mount: 258.3 g (9.1 oz)
  With mount: 294 g (10.4 oz)
Certifications: FCC, IC, CE
","eth0, eth1",,,
Ubiquiti,CloudKey Rack Mount,CKG2-RM,"CloudKey Rack Mount
Mount your CloudKey or CloudKey+ into a 19"" rack.
",eth0,,,Cloud Key
Ubiquiti,LiteAP 120,LAP-120,[LiteAP AC](https://www.ui.com/airmax/liteap-ac/),"lan0, wlan0",,,
Ubiquiti,EdgeRouter 12P,ER-12P,[EdgeRouter 12 with PoE](https://dl.ubnt.com/datasheets/edgemax/EdgeRouter_DS.pdf),"eth0, eth1, eth2, eth3, eth4, eth5, eth6, eth7, eth8, eth9, eth10, eth11, switch0",Console,24VDC,
Ubiquiti,Rocket Prism 5AC Gen2,RP-5AC-Gen2,[Rocket Prism 5AC Gen2](https://dl.ubnt.com/datasheets/RocketAC/Rocket_Prism_AC_Gen2_DS.pdf),"lan0, wlan0",,,
Ubiquiti,PowerBeam 2AC 400,PBE-2AC-400,,"lan0, wlan0",,,
Ubiquiti,UniFi Switch 24 PoE 250W Gen1,US-24-250W,"UniFi Switch 24 PoE 250W (30W + max. 220W PoE), Gen1, (24) Gigabit PoE+ IEEE 802.3af/at and 24V Passive PoE, (2) SFP

Dimensions: 485 x 43.7 x 285.4 mm (19.09 x 1.72 x 11.24"")
","Port 1 (PoE), Port 2 (PoE), Port 3 (PoE), Port 4 (PoE), Port 5 (PoE), Port 6 (PoE), Port 7 (PoE), Port 8 (PoE), Port 9 (PoE), Port 10 (PoE), Port 11 (PoE), Port 12 (PoE), Port 13 (PoE), Port 14 (PoE), Port 15 (PoE), Port 16 (PoE), Port 17 (PoE), Port 18 (PoE), Port 19 (PoE), Port 20 (PoE), Port 21 (PoE), Port 22 (PoE), Port 23 (PoE), Port 24 (PoE), SFP 1, SFP 2",Console,Input,
Ubiquiti,AC HD,UAP-AC-HD,,"eth0, eth1, wifi0, wifi1",,,
Ubiquiti,UniFi Cloud Gateway Ultra,UCG-Ultra,"Compact Cloud Gateway with 30+ UniFi devices / 300+ client support.
Features 1 Gbps IPS routing, and multi-WAN load balancing.
[Tech Specs](https://techspecs.ui.com/unifi/cloud-gateways/ucg-ultra?subcategory=all-cloud-gateways)
","Port 1, Port 2, Port 3, Port 4, Port 5",,USB-C Power,
Ubiquiti,U6 Professional,U6-Pro,"[Access Point U6 Pro](https://store.ui.com/products/unifi-ap6-professional)
","Port 1, Wlan 0, Wlan 1",,,
Ubiquiti,UniFi Cloud Key,uc-ck,"Unifi Cloud Key Generation 1

PoE in 24V or USB-type C Power
",eth0,,power1,
Ubiquiti,U7 Pro Max,U7-Pro-Max,"[Access Point U7 Pro Max](https://store.ui.com/us/en/category/wifi-flagship/products/u7-pro-max)

High-performance WiFi 7 access point with 2.5GbE support and tri-band connectivity for 2.4 GHz, 5 GHz, and 6 GHz. Capable of MU-MIMO with 500+ concurrent clients.

Dimensions: 206 x 46 mm (8.1 x 1.8"")
Weight: 680 g (1.5 lb)
Certifications: CE, FCC, IC
","Port 1, WLAN 0, WLAN 1, WLAN 2, WLAN 3, WLAN 4",,,
Ubiquiti,ER-X-SFP,,[EdgeRouter X SFP - Advanced Gigabit Router with PoE and SFP](https://www.ui.com/edgemax/edgerouter-x-sfp/),"eth0, eth1, eth2, eth3, eth4, eth5",,24VDC,
